"country","continent","lifeexp_first","gdppercap_first","pop_first","lifeexp_latest","gdppercap_latest","pop_latest","lifeexp_change","gdppercap_ratio","pop_ratio"
"Oman","Asia",37.58,1828.23,507833,75.64,22316.19,3204897,38.06,12.2064455785104,6.31092701734625
"Vietnam","Asia",40.41,605.07,26246839,74.25,2441.58,85262356,33.84,4.03520253854926,3.24848093136092
"Indonesia","Asia",37.47,749.68,82052000,70.65,3540.65,223547000,33.18,4.7228817628855,2.72445522351679
"Saudi Arabia","Asia",39.88,6459.55,4005677,72.78,21654.83,27601038,32.9,3.35237439140497,6.89048018599602
"Libya","Africa",42.72,2387.55,1019729,73.95,12057.5,6036914,31.23,5.05015601767502,5.9201160308278
"Korea, Rep.","Asia",47.45,1030.59,20947571,78.62,23348.14,49044790,31.17,22.6551198827856,2.34131155349706
"Nicaragua","Americas",42.31,3112.36,1165790,72.9,2749.32,5675356,30.59,0.883355395905358,4.86824899853318
"West Bank and Gaza","Asia",43.16,1515.59,1030585,73.42,3025.35,4018332,30.26,1.99615331323115,3.89907867861457
"Yemen, Rep.","Asia",32.55,781.72,4963829,62.7,2280.77,22211743,30.15,2.91763035357929,4.47471961665078
"Egypt","Africa",41.89,1418.82,22223309,71.34,5581.18,80264543,29.45,3.93367728112093,3.61172780345177
