"year","lifeexp","pop","gdppercap","total_pop"
1952,49.0575352112676,16950402.4647887,3725.27654929577,2406957150
1957,51.5073943661972,18763412.5352113,4299.40845070423,2664404580
1962,53.6092253521127,20421006.8591549,4725.81225352113,2899782974
1967,55.6782394366197,22658298.4788732,5483.65288732394,3217478384
1972,57.6473943661972,25189979.9859155,6770.08295774648,3576977158
1977,59.5702816901408,27676378.9225352,7313.1661971831,3930045807
1982,61.5334507042254,30207301.6901408,7518.90161971831,4289436840
1987,63.212323943662,33038573.3661972,7900.91992957747,4691477418
1992,64.1601408450704,35990917.3239437,8158.60830985916,5110710260
1997,65.0149295774648,38839468.1126761,9090.17556338028,5515204472
2002,65.6948591549296,41457588.5845071,9917.8485915493,5886977579
2007,67.0073943661972,44021219.5704225,11680.0718309859,6251013179
