country,continent,year,lifeexp,pop,gdppercap,iso_alpha,iso_num
Afghanistan,Asia,1952,28.8,8425333,779.45,AFG,4
Afghanistan,Asia,1957,30.33,9240934,820.85,AFG,4
Afghanistan,Asia,1962,32.0,10267083,853.1,AFG,4
Afghanistan,Asia,1967,34.02,11537966,836.2,AFG,4
Afghanistan,Asia,1972,36.09,13079460,739.98,AFG,4
Afghanistan,Asia,1977,38.44,14880372,786.11,AFG,4
Afghanistan,Asia,1982,39.85,12881816,978.01,AFG,4
Afghanistan,Asia,1987,40.82,13867957,852.4,AFG,4
Afghanistan,Asia,1992,41.67,16317921,649.34,AFG,4
Afghanistan,Asia,1997,41.76,22227415,635.34,AFG,4
Afghanistan,Asia,2002,42.13,25268405,726.73,AFG,4
Afghanistan,Asia,2007,43.83,31889923,974.58,AFG,4
Albania,Europe,1952,55.23,1282697,1601.06,ALB,8
Albania,Europe,1957,59.28,1476505,1942.28,ALB,8
Albania,Europe,1962,64.82,1728137,2312.89,ALB,8
Albania,Europe,1967,66.22,1984060,2760.2,ALB,8
Albania,Europe,1972,67.69,2263554,3313.42,ALB,8
Albania,Europe,1977,68.93,2509048,3533.0,ALB,8
Albania,Europe,1982,70.42,2780097,3630.88,ALB,8
Albania,Europe,1987,72.0,3075321,3738.93,ALB,8
Albania,Europe,1992,71.58,3326498,2497.44,ALB,8
Albania,Europe,1997,72.95,3428038,3193.05,ALB,8
Albania,Europe,2002,75.65,3508512,4604.21,ALB,8
Albania,Europe,2007,76.42,3600523,5937.03,ALB,8
Algeria,Africa,1952,43.08,9279525,2449.01,DZA,12
Algeria,Africa,1957,45.68,10270856,3013.98,DZA,12
Algeria,Africa,1962,48.3,11000948,2550.82,DZA,12
Algeria,Africa,1967,51.41,12760499,3246.99,DZA,12
Algeria,Africa,1972,54.52,14760787,4182.66,DZA,12
Algeria,Africa,1977,58.01,17152804,4910.42,DZA,12
Algeria,Africa,1982,61.37,20033753,5745.16,DZA,12
Algeria,Africa,1987,65.8,23254956,5681.36,DZA,12
Algeria,Africa,1992,67.74,26298373,5023.22,DZA,12
Algeria,Africa,1997,69.15,29072015,4797.3,DZA,12
Algeria,Africa,2002,70.99,31287142,5288.04,DZA,12
Algeria,Africa,2007,72.3,33333216,6223.37,DZA,12
Angola,Africa,1952,30.02,4232095,3520.61,AGO,24
Angola,Africa,1957,32.0,4561361,3827.94,AGO,24
Angola,Africa,1962,34.0,4826015,4269.28,AGO,24
Angola,Africa,1967,35.98,5247469,5522.78,AGO,24
Angola,Africa,1972,37.93,5894858,5473.29,AGO,24
Angola,Africa,1977,39.48,6162675,3008.65,AGO,24
Angola,Africa,1982,39.94,7016384,2756.95,AGO,24
Angola,Africa,1987,39.91,7874230,2430.21,AGO,24
Angola,Africa,1992,40.65,8735988,2627.85,AGO,24
Angola,Africa,1997,40.96,9875024,2277.14,AGO,24
Angola,Africa,2002,41.0,10866106,2773.29,AGO,24
